Operator,Station,Code,Cubic Name,NLC,Gated
c2c,Basildon,c2c,TOC7494,7494,1
c2c,Benfleet,c2c,TOC7439,7439,1
c2c,Chafford 100,c2c,TOC7447,7447,1
c2c,Chalkwell,c2c,TOC7469,7469,1
c2c,Dagenham Docks,c2c,TOC7440,7440,1
c2c,East Tilbury,c2c,TOC7471,7471,1
c2c,Fenchurch Street,c2c,TOC8513,7490,1
c2c,Grays,c2c,TOC7443,7443,1
c2c,Laindon,c2c,TOC7445,7445,1
c2c,Leigh on Sea,c2c,TOC7446,7446,1
c2c,Limehouse ,c2c,TOC7491,7491,1
c2c,Ockendon,c2c,TOC7451,7451,1
c2c,Pitsea,c2c,TOC7452,7452,1
c2c,Purfleet,c2c,TOC7453,7453,1
c2c,Rainham London,c2c,TOC7454,7454,1
c2c,Shoeburyness,c2c,TOC7455,7455,1
c2c,Southend Central,c2c,TOC7456,7456,1
c2c,Southend East,c2c,TOC7457,7457,1
c2c,Stanford le Hope,c2c,TOC7458,7458,1
c2c,Thorpe Bay,c2c,TOC7460,7460,1
c2c,Tilbury Town,c2c,TOC7462,7462,1
c2c,Upminster,c2c,TOC7464,7464,1
c2c,West Cliff on Sea,c2c,TOC7476,7476,1
c2c,West Horndon,c2c,TOC7466,7466,1
Chiltern,Aylesbury,Chiltern,TOC1492,1492,1
Chiltern,Banbury,Chiltern,TOC4502,4502,1
Chiltern,Beaconsfield,Chiltern,TOC3047,3047,1
Chiltern,Bicester Village,Chiltern,TOC3104,3104,1
Chiltern,Gerrards Cross,Chiltern,TOC3051,3051,1
Chiltern,High Wycombe,Chiltern,TOC3054,3054,1
Chiltern,Leamington Spa,Chiltern,TOC4597,4597,1
Chiltern,Marylebone,Chiltern,TOC1475,1475,1
Chiltern,Oxford Parkway,Chiltern,TOC3121,3121,1
EMR,Corby,EMR,TOC0000,1847,1
EMR,Derby,EMT,TOC1823,1823,1
EMR,Kettering,EMR,TOC0000,1857,1
EMR,Leicester,EMT,TOC1947,1947,1
EMR,Lincoln,EMT,TOC6340,6340,1
EMR,Loughborough,EMT,TOC1897,1897,1
EMR,Nottingham,EMT,TOC1826,1826,1
EMR,St Pancras International,EMT,TOC1555,1555,1
EMR,Wellingbrough,EMR,TOC0000,1940,1
Greater Anglia,Alresford,AGA,TOC6847,6847,1
Greater Anglia,Althorne,AGA,TOC6869,6869,1
