Station name,National Location Code (NLC),"Three Letter Code
(TLC)",Column1,"Ordnance Survey grid: 
Easting","Ordnance Survey grid: 
Northing",Postcode
Abbey Wood,5131,ABW,Abbey Wood,51.49106056,0.121394025,SE2 9RH
Aber,3813,ABE,Aber,51.57496911,-3.229829051,CF83 1AQ
Abercynon,3801,ACY,Abercynon,51.6447124,-3.326988552,CF45 4SE
Aberdare,3982,ABA,Aberdare,51.71506183,-3.443084095,CF44 0PU
Aberdeen,8976,ABD,Aberdeen,57.14370583,-2.098685386,AB11 6LX
Aberdour,9090,AUR,Aberdour,56.05459557,-3.300560615,KY3 0SN
Aberdovey,4435,AVY,Aberdovey,52.5439615,-4.057067962,LL35 0NR
Abererch,4440,ABH,Abererch,52.89858847,-4.374176474,LL53 6PJ
Abergavenny,3602,AGV,Abergavenny,51.81669304,-3.0096473,NP7 5HS
Abergele and Pensarn,2448,AGL,Abergele and Pensarn,53.29457716,-3.582622688,LL22 7PR
Aberystwyth,4303,AYW,Aberystwyth,52.41404989,-4.081894427,SY23 1LH
Accrington,2552,ACR,Accrington,53.75297338,-2.369548102,BB5 1LJ
Achanalt,8600,AAT,Achanalt,57.60960187,-4.913852563,IV23 2QD
Achnasheen,8601,ACN,Achnasheen,57.57929592,-5.072333529,IV22 2EJ
Achnashellach,8602,ACH,Achnashellach,57.4820809,-5.333056788,IV54 8YH
Acklington,7662,ACK,Acklington,55.30709932,-1.651834796,NE65 4DE
Acle,7286,ACL,Acle,52.63467776,1.543914976,NR13 3BZ
Acocks Green,4529,ACG,Acocks Green,52.44932407,-1.818975622,B27 6EB
Acton Bridge (Cheshire),2287,ACB,Acton Bridge (Cheshire),53.26650976,-2.603126907,CW8 2RE
Acton Central,1404,ACC,Acton Central,51.50871501,-0.262970693,W3 6BH
Acton Main Line,3000,AML,Acton Main Line,51.51717888,-0.26675644,W3 9EH
Adderley Park,1036,ADD,Adderley Park,52.48308729,-1.855944637,B9 4TG
Addiewell,9310,ADW,Addiewell,55.84341308,-3.606527122,EH55 8NQ
Addlestone,5550,ASN,Addlestone,51.37304475,-0.484456797,KT15 2PB
Adisham,5160,ADM,Adisham,51.2411978,1.199089047,CT3 3JE
Adlington (Cheshire),2939,ADC,Adlington (Cheshire),53.31955579,-2.133562744,SK10 4NA
Adlington (Lancashire),2641,ADL,Adlington (Lancashire),53.61324685,-2.603071196,PR6 9RS
Adwick,8353,AWK,Adwick,53.57232101,-1.18035633,DN6 7AJ
Aigburth,2255,AIG,Aigburth,53.36456801,-2.927155401,L17 6AG
Ainsdale,2350,ANS,Ainsdale,53.60203553,-3.042652521,PR8 3HJ
Aintree,2125,AIN,Aintree,53.47391276,-2.956280799,L9 5BE
Airbles,9695,AIR,Airbles,55.78283784,-3.994193307,ML1 2SX
Airdrie,9759,ADR,Airdrie,55.86398351,-3.982912925,ML6 9EX
Albany Park,5132,AYP,Albany Park,51.43545074,0.125737066,DA5 3HP
Albrighton,4614,ALB,Albrighton,52.63794427,-2.268900245,WV7 3DS
Alderley Edge,2760,ALD,Alderley Edge,53.3037821,-2.236799363,SK9 7QA
Aldermaston,3145,AMT,Aldermaston,51.40196186,-1.137423927,RG7 4LB
Aldershot,5623,AHT,Aldershot,51.24641791,-0.759859888,GU11 1HN
Aldrington,5280,AGT,Aldrington,50.83638241,-0.183821513,BN3 5AE
Alexandra Palace,6025,AAP,Alexandra Palace,51.59792249,-0.12023522,N22 7ST
Alexandra Parade,9905,AXP,Alexandra Parade,55.86317598,-4.210648969,G31 3JN
Alexandria,9861,ALX,Alexandria,55.98508877,-4.57748537,G83 0UL
Alfreton,1805,ALF,Alfreton,53.1004323,-1.369696216,DE55 7JQ
Allens West,7520,ALW,Allens West,54.52462337,-1.361116835,TS16 0PF
Alloa,9883,ALO,Alloa,56.1177936,-3.790056403,FK10 1BA
Alness,8605,ASS,Alness,57.69439917,-4.249717265,IV17 0SE
Alnmouth,7787,ALM,Alnmouth,55.39277864,-1.636637839,NE66 3QF
Alresford (Essex),6847,ALR,Alresford (Essex),51.85399744,0.997436403,CO7 8AA
Alsager,1223,ASG,Alsager,53.09300541,-2.299057841,ST7 2XW
Althorne (Essex),6869,ALN,Althorne (Essex),51.64786753,0.752483415,CM3 6DG
Althorpe,6532,ALP,Althorpe,53.58550035,-0.733182291,DN17 3HL
Altnabreac,8606,ABC,Altnabreac,58.3881525,-3.706280968,KW12 6UR
Alton,5544,AON,Alton,51.15196866,-0.966913303,GU34 2PZ
Altrincham,2806,ALT,Altrincham,53.38771872,-2.346889104,WA14 1EN
Alvechurch,1198,ALV,Alvechurch,52.34607212,-1.967660732,B48 7SE
Ambergate,1678,AMB,Ambergate,53.06051708,-1.480697582,DE56 2EN
Amberley,5250,AMY,Amberley,50.89667919,-0.541992408,BN18 9LT
Amersham,506,AMR,Amersham,51.6742051,-0.607596139,HP6 5AZ
Ammanford,4236,AMF,Ammanford,51.79597955,-3.996735756,SA18 2DD
Ancaster,6358,ANC,Ancaster,52.98768658,-0.535623734,NG32 3RA
Anderston,9965,AND,Anderston,55.85990212,-4.270980032,G3 8RR
Andover,5510,ADV,Andover,51.21154761,-1.492233072,SP10 3HW
Anerley,5397,ANZ,Anerley,51.41215139,-0.065885922,SE20 8PY
Angmering,5267,ANG,Angmering,50.81657439,-0.489394019,BN16 3RE
Annan,9451,ANN,Annan,54.98383888,-3.262581042,DG12 6AS
Anniesland,9972,ANL,Anniesland,55.88935551,-4.321957842,G12 0AY
Ansdell and Fairhaven,2662,AFV,Ansdell and Fairhaven,53.74146547,-2.993034447,FY8 1AG
Apperley Bridge,8562,APY,Apperley Bridge,53.84175011,-1.705828671,BD10 0FD
Appleby,2052,APP,Appleby,54.58034882,-2.486692584,CA16 6TT
Appledore (Kent),5003,APD,Appledore (Kent),51.0332342,0.816341504,TN26 2DG
Appleford,3109,APF,Appleford,51.63964155,-1.242141532,OX14 4PJ
Appley Bridge,2396,APB,Appley Bridge,53.5786735,-2.719252513,WN6 9AE
Apsley,1430,APS,Apsley,51.73252082,-0.462934812,HP3 9SX
Arbroath,9079,ARB,Arbroath,56.5595763,-2.588931774,DD11 1RQ
Ardgay,8613,ARD,Ardgay,57.88145761,-4.362090238,IV24 3AQ
Ardlui,9962,AUI,Ardlui,56.30197237,-4.721658582,G83 7DT
Ardrossan Harbour,9453,ADS,Ardrossan Harbour,55.63987823,-4.821111633,KA22 8BH
Ardrossan South Beach,9569,ASB,Ardrossan South Beach,55.64142214,-4.801212641,KA22 8AU
Ardrossan Town,9455,ADN,Ardrossan Town,55.63971246,-4.812676452,KA22 8AU
Ardwick,2960,ADK,Ardwick,53.47134582,-2.213884175,M12 6LY
Argyle Street,9961,AGS,Argyle Street,55.85730906,-4.250694863,G2 8DL
Arisaig,8821,ARG,Arisaig,56.91255374,-5.839079499,PH39 4NJ
Arlesey,6171,ARL,Arlesey,52.02603001,-0.266319838,SG15 6XA
Armadale (West Lothian),990,ARM,Armadale (West Lothian),55.88571403,-3.695413343,EH48 3LP
Armathwaite,2054,AWT,Armathwaite,54.80946798,-2.772071473,CA4 9PL
Arnside,1963,ARN,Arnside,54.2027315,-2.828241892,LA5 0HQ
Arram,8045,ARR,Arram,53.88434277,-0.426570132,HU17 7NR
