Train Operator,Station ,NLC,Proposed PVAL Number ,Suggested PVAL number ,Comments 
Avanti,Stafford,STA,,2,"Awaiting discussion with Avanti / GRC, This station is currently under the control of Network Rail (Landlord) but is staffed and managed by Avanti. The station has several platforms but only one entrance and exit for all of these."
Chiltern,Dorridge,DDG,,3,Visited this station with Chiltern.  There were VIX validators in place still.  Three in total.  It was suggested that we replace like for like.  Hopefully we will be able to use the same connections that are there already.
Chiltern,Hatton,HTN,,1,Only one validator is required at this location as agreed with Chiltern reps on site visit
Chiltern,Lapworth,LPW,,2,Two validators are required at this location as agreed with Chiltern reps on site visit
Chiltern,Solihull,SOL,,2,Visited this station and saw that the communications points were still in place from the previous scheme.  We propose to use the same locations which means we only need 2 validators at this location.
Chiltern,Warwick,WRW,,3,Three validators are required at this location as agreed with Chiltern reps on site visit
Chiltern,Warwick Parkway,WRP,,3,Three validators are required at this location as agreed with Chiltern reps on site visit
EMR,Burton-on-Trent,BUT,,1,"Awaiting discussion with EMR / GRC,This station has one island platform that is used by a number of services. There is currently one validator located at the bottom of the staircase leading up to the station exit.  This validator is a VIX model and is used currently for the East Midlands Railway (EMR) smart card scheme. We would need to discuss upgrading to Swift with EMR and VIX"
EMR,Hinckley (Leics),HNK,,2,"Awaiting discussion with EMR / GRC, This station has two platforms and each one has an entrance / exit leading to it. This location currently has no gates or validators.  It would require two validators from the WMT stock. "
GWR,Worcestershire Parkway,WOP,,2,Awaiting discussion with GRW / GRC
WMT,Adderley Park,ADD,2,2,
WMT,Albrighton,ALB,2,2,
WMT,Alvechurch,ALV,2,2,
WMT,Aston,AST,2,4,"This station heavily used on days when Aston Villa are playing at home.  There are two platforms from the street, and it is recommended that we need to have two validators on each platform.  "
WMT,Atherstone,ATH,2,2,
WMT,Barnt Green,BTG,2,3,There are four platforms at this location.  Platforms two and three share an island platform.   
WMT,Bearley,BER,1,1,
WMT,Bedworth,BEH,2,2,
WMT,Berkswell,BKW,2,2,
WMT,Bermuda Park,BEP,2,2,
WMT,Bescot Stadium,BSC,2,2,
WMT,Bilbrook,BBK,2,2,
WMT,Blake Street,BKT,2,2,Need to consider ramp access points - as passengers may not naturally walk past PVAL
WMT,Blakedown,BKD,2,2,
WMT,Bloxwich,BLX,2,2,
WMT,Bloxwich North,BWN,2,2,
WMT,Bordesley,BBS,1,1,It was suggested that this station would close but WMT have already enabled this location for PVAL’s.  
WMT,Bournville,BRV,4,4,
WMT,Bromsgrove,BMV,3,3,
WMT,Butlers Lane,BUL,2,2,
WMT,Canley,CNL,2,2,
WMT,Cannock,CAO,2,2,
WMT,Chester Road,CRD,3,3,
WMT,Claverdon,CLV,1,1,
WMT,Codsall,CSL,2,2,
WMT,Coleshill Parkway,CEH,2,2,
WMT,Colwall,CWL,2,2,"WMT have already enabled this location for 2 PVAL’s.  One was thought necessary, but the work has already been done."
WMT,Coseley,CSY,3,3,
WMT,Cosford,COS,2,2,
WMT,Coventry Arena,CAA,2,2,
WMT,Cradley Heath,CRA,3,3,
WMT,Darlaston,0,2,2,Currently under construction – 2 PVAL’s estimated
WMT,Droitwich Spa,DTW,3,3,
WMT,Duddeston,DUD,2,2,
WMT,Dudley Port,DDP,2,2,
WMT,Earlswood (West Midlands),EWD,2,2,
WMT,Erdington,ERD,2,2,
WMT,Four Oaks,FOK,4,4,There is a side entrance to and from this station which currently has no provision for a validator. It is recommended that we review this location.  
WMT,Gravelly Hill,GVH,3,3,
WMT,Great Malvern,GMV,2,2,
WMT,Hagley,HAG,2,2,
WMT,Hall Green,HLG,3,3,
WMT,Hampton-In-Arden,HIA,2,2,
WMT,Hamstead (Birmingham),HSD,2,2,
WMT,Hartlebury,HBY,2,2,
WMT,Hednesford,HNF,2,2,
WMT,Henley-in-Arden,HNL,2,2,
WMT,Jewellery Quarter,JEQ,2,2,Separate PVAL’s required for the tram interface
WMT,Kenilworth,KNW,2,2,
WMT,Kidderminster,KID,4,4,
WMT,Kings Norton,KNN,4,4,
WMT,Landywood,LAW,2,2,
WMT,Langley Green,LGG,2,2,
WMT,Lea Hall,LEH,3,3,
WMT,Ledbury,LED,2,2,
WMT,Lichfield City,LIC,2,2,
WMT,Lichfield Trent Valley,LTV,2,3,Need to think about interchange journeys - may need PVAL on Platform 3 (when rebuilt).  
WMT,Longbridge,LOB,4,4,Enabling work is already complete.  It was thought that 3 PVAL’s was sufficient.
WMT,Lye (West Midlands),LYE,2,2,
WMT,Marston Green,MGN,3,3,
WMT,Northfield,NFD,4,4,
WMT,Nuneaton,NUN,3,3,
WMT,Oakengates,OKN,2,2,
WMT,Old Hill,OHL,2,2,
WMT,Olton,OLT,2,2,
WMT,Penkridge,PKG,2,2,
WMT,Perry Barr,PRY,2,2,
WMT,Pineapple Road,0,2,2,Currently under construction – 2 PVAL’s estimated
WMT,Polesworth,PSW,1,1,
WMT,Redditch,RDC,2,2,
WMT,Rowley Regis,ROW,4,4,
WMT,Rugeley Town,RGT,2,2,
WMT,Rugeley Trent Valley,RGL,2,2,
WMT,Sandwell and Dudley,SAD,3,3,
WMT,Selly Oak,SLY,4,4,
WMT,Shenstone,SEN,2,2,
WMT,Shifnal,SFN,2,2,
WMT,Shirley,SRL,2,2,
WMT,Small Heath,SMA,2,2,
WMT,Smethwick Galton Bridge,SGB,2,2,Need to revisit this location to check interchange locations
WMT,Smethwick Rolfe Street,SMR,2,2,
WMT,Spring Road,SRI,2,2,
WMT,Stechford,SCF,2,2,
WMT,Stone (Staffs),SNE,2,2,It is understood that this station is currently outside of the West Midlands area.  Zero requirement here unless it is brought into scope.  WMT have already enable this location for 2 PVAL’s.
WMT,Stourbridge Junction,SBJ,4,4,
WMT,Stourbridge Town,SBT,2,2,Location is already enabled.
