Station name,National Location Code (NLC),"Three Letter Code
(TLC)",Station has a Ticket Gate,Ticket Gates,Cubic Gates,VIX PVALS,S+B PVAL,S+B Gates,Total Devices,"Apr 2021 to Mar 2022 Entries and exits: 
Total","Apr 2021 to Mar 2022 Entries and exits:
Rank","Apr 2021 to Mar 2022:
Interchanges",Region,Station facility owner,SFO Short Code,Station group,London Travelcard Area,,,,,,,
Abbey Wood,5131,ABW,,,,,,,,"2,638,456",130,0,London,TfL Rail,#REF!,,London Travelcard Area,,,,,,,
Aber,3813,ABE,,,,2,,,2,"73,642","1,675",0,Wales,TfW Rail,#REF!,,No,,,,,,,
Abercynon,3801,ACY,,,,1,,,1,"105,822","1,486","11,592",Wales,TfW Rail,#REF!,,No,,,,,,,
Aberdare,3982,ABA,,,,2,,,2,"177,350","1,204",0,Wales,TfW Rail,#REF!,,No,,,,,,,
Aberdeen,8976,ABD,,,,,,,,"1,536,720",251,"124,666",Scotland,ScotRail,#REF!,,No,,,,,,,
Aberdour,9090,AUR,,,,,,,,"62,990","1,751",0,Scotland,ScotRail,#REF!,,No,,,,,,,
Aberdovey,4435,AVY,,,,,,,,"22,886","2,128",0,Wales,TfW Rail,#REF!,,No,,,,,,,
Abererch,4440,ABH,,,,,,,,396,"2,531",0,Wales,TfW Rail,#REF!,,No,,,,,,,
Abergavenny,3602,AGV,,,,2,,,2,"283,944",933,0,Wales,TfW Rail,#REF!,,No,,,,,,,
Abergele and Pensarn,2448,AGL,,,,,,,,"58,556","1,784",0,Wales,TfW Rail,#REF!,,No,,,,,,,
Aberystwyth,4303,AYW,,,,,,,,"171,262","1,220",0,Wales,TfW Rail,#REF!,,No,,,,,,,
Accrington,2552,ACR,,,,,,,,"385,604",795,0,North West,Northern Trains,#REF!,,No,,,,,,,
Achanalt,8600,AAT,,,,,,,,342,`,0,Scotland,ScotRail,#REF!,,No,,,,,,,
Achnasheen,8601,ACN,,,,,,,,"2,420","2,435",0,Scotland,ScotRail,#REF!,,No,,,,,,,
Achnashellach,8602,ACH,,,,,,,,650,"2,506",0,Scotland,ScotRail,#REF!,,No,,,,,,,
Acklington,7662,ACK,,,,,,,,324,"2,541",0,North East,Northern Trains,#REF!,,No,,,,,,,
Acle,7286,ACL,,,,,,,,"33,642","2,008",0,East of England,Greater Anglia,#REF!,,No,,,,,,,
Acocks Green,4529,ACG,,,,,3,,3,"271,554",963,0,West Midlands,West Midlands Trains (West Midlands Railway),#REF!,,No,,,,,,,
Acton Bridge (Cheshire),2287,ACB,,,,,,,,"30,838","2,038",0,North West,West Midlands Trains (London Northwestern Railway),#REF!,,No,,,,,,,
Acton Central,1404,ACC,,,,,,,,"1,332,790",281,0,London,London Overground,#REF!,,London Travelcard Area,,,,,,,
Acton Main Line,3000,AML,,,,,,,,"321,076",873,0,London,TfL Rail,#REF!,,London Travelcard Area,,,,,,,
Adderley Park,1036,ADD,,,,,2,,2,"74,256","1,670",0,West Midlands,West Midlands Trains (West Midlands Railway),#REF!,,No,,,,,,,
Addiewell,9310,ADW,,,,,,,,"11,226","2,264",0,Scotland,ScotRail,#REF!,,No,,,,,,,
Addlestone,5550,ASN,,,,3,,,3,"239,190","1,033",0,South East,South Western Railway,#REF!,,No,,,,,,,
Adisham,5160,ADM,,,,,,,,"19,464","2,163",0,South East,Southeastern,#REF!,,No,,,,,,,
Adlington (Cheshire),2939,ADC,,,,,,,,"17,284","2,189",0,North West,Northern Trains,#REF!,,No,,,,,,,
Adlington (Lancashire),2641,ADL,,,,2,,,2,"80,814","1,629",0,North West,Northern Trains,#REF!,,No,,,,,,,
Adwick,8353,AWK,,,,,,,,"109,004","1,467",0,Yorkshire and The Humber,Northern Trains,#REF!,,No,,,,,,,
Aigburth,2255,AIG,,,,,,,,"483,488",679,0,North West,Merseyrail,#REF!,,No,,,,,,,
Ainsdale,2350,ANS,,,,,,,,"768,028",485,0,North West,Merseyrail,#REF!,,No,,,,,,,
Aintree,2125,AIN,,,,,,,,"725,908",507,0,North West,Merseyrail,#REF!,,No,,,,,,,
