TOC,Station,"NLC
Code",CRSCode,HostName,"Platform
Position",,Operator,Station,Total PVALS
EMR,Alfreton,1805,ALF,ALF-1805-PCP-001,1,,EMR,Alfreton,2
EMR,Alfreton,1805,ALF,ALF-1805-PCP-002,2,,EMR,Ambergate,1
EMR,Ambergate,1678,AMB,AMB-1678-PCP-001,1,,EMR,Ancaster,1
EMR,Ancaster,6358,ANC,ANC-6358-PCP-001,1,,EMR,Attenborough,1
EMR,Attenborough,1624,ATB,ATB-1624-PCP-001,1,,EMR,Barrowuponsoar,1
EMR,Barrowuponsoar,1903,BWS,BWS-1903-PCP-001,1,,EMR,Beeston,2
EMR,Beeston,1625,BEE,BEE-1625-PCP-001,1,,EMR,Belper,2
EMR,Beeston,1625,BEE,BEE-1625-PCP-002,2,,EMR,Bleasby,1
EMR,Belper,1679,BLP,BLP-1679-PCP-001,1,,EMR,Boston,2
EMR,Belper,1679,BLP,BLP-1679-PCP-002,2,,EMR,Bulwell,2
EMR,Bleasby,6204,BSB,BSB-6204-PCP-001,1,,EMR,Burtonontrent,1
EMR,Boston,6216,BSN,BSN-6216-PCP-001,1,,EMR,Chesterfield,3
EMR,Boston,6216,BSN,BSN-6216-PCP-002,2,,EMR,Corby,2
EMR,Bulwell,1865,BLW,BLW-1865-PCP-001,1,,EMR,Creswell,1
EMR,Bulwell,1865,BLW,BLW-1865-PCP-002,2,,EMR,Cromford,1
EMR,Burtonontrent,1658,BUT,BUT-1658-PCP-001,1,,EMR,Duffield,2
EMR,Chesterfield,6615,CHD,CHD-6615-PCP-001,1,,EMR,Eastmidspkwy,3
EMR,Chesterfield,6615,CHD,CHD-6615-PCP-002,2,,EMR,Elton&Orston,1
EMR,Chesterfield,6615,CHD,CHD-6615-PCP-003,3,,EMR,Havenhouse,1
EMR,Corby,1847,COR,COR-1847-PCP-001,1,,EMR,Hinckley(Leics),1
EMR,Corby,1847,COR,COR-1847-PCP-002,2,,EMR,Hubbertsbridge,1
EMR,Creswell,1874,CWD,CWD-1874-PCP-001,1,,EMR,Hucknall,4
EMR,Cromford,1822,CMF,CMF-1822-PCP-001,1,,EMR,Ilkeston,1
EMR,Duffield,1691,DFI,DFI-1691-PCP-001,1,,EMR,Kettering,3
EMR,Duffield,1691,DFI,DFI-1691-PCP-002,2,,EMR,Kidsgrove,3
EMR,Eastmidspkwy,1901,EMD,EMD-1901-PCP-001,1,,EMR,Kirkbyinashfld,2
EMR,Eastmidspkwy,1901,EMD,EMD-1901-PCP-002,2,,EMR,Langwithwthorn,1
EMR,Eastmidspkwy,1901,EMD,EMD-1901-PCP-003,3,,EMR,Leicester,1
EMR,Elton&Orston,6238,ELO,ELO-6238-PCP-001,1,,EMR,Longeaton,2
EMR,Havenhouse,6260,HVN,HVN-6260-PCP-001,1,,EMR,Loughborough,1
EMR,Hinckley(Leics),1870,HNK,HNK-1870-PCP-001,1,,EMR,Mansfield,1
EMR,Hubbertsbridge,6221,HBB,HBB-6221-PCP-001,1,,EMR,Mansfieldwoodh,2
EMR,Hucknall,1862,HKN,HKN-1862-PCP-001,1,,EMR,Marketharboro,3
EMR,Hucknall,1862,HKN,HKN-1862-PCP-002,2,,EMR,Matlock,1
EMR,Hucknall,1862,HKN,HKN-1862-PCP-003,3,,EMR,Matlockbath,1
